payment_id,due_date,amount,currency,recipient,priority,category,account_from,description,can_be_delayed
PAY00466,2026-05-22,46933.35,GBP,"Stevens, Small and Robertson",high,cashback,ACC002,Future-proofed multimedia Graphic Interface,False
PAY00333,2026-05-22,35231.99,KZT,Owens-Jackson,high,partner_settlement,ACC003,User-friendly web-enabled success,False
PAY00362,2026-05-22,96594.02,EUR,Payne Group,critical,cashback,ACC010,Cross-platform motivating monitoring,False
PAY00125,2026-05-22,168400.98,EUR,"Stevens, Jones and Fox",critical,partner_settlement,ACC011,Self-enabling coherent support,False
PAY00430,2026-05-22,217489.82,GBP,"Jones, Burns and Reeves",critical,cashback,ACC006,Multi-lateral modular parallelism,False
PAY00233,2026-05-22,316796.3,USD,"Gomez, Nicholson and Smith",critical,bill_payment,ACC015,Optimized optimal Internet solution,False
PAY00422,2026-05-22,35525.13,KZT,Preston-Smith,normal,salary,ACC001,Enterprise-wide 24hour projection,True
PAY00234,2026-05-22,60375.52,KZT,Sims-Smith,high,salary,ACC017,Realigned bi-directional interface,False
PAY00152,2026-05-22,19277.72,GBP,Finley-Martin,high,tax_payment,ACC020,Reactive human-resource matrices,False
PAY00033,2026-05-22,84662.53,USD,"Meyer, Burton and Francis",critical,cashback,ACC017,Customer-focused zero administration software,False
PAY00220,2026-05-22,34691.93,EUR,Davis-Beck,high,salary,ACC004,Exclusive responsive customer loyalty,False
PAY00095,2026-05-23,30062.41,KZT,Rodriguez Inc,normal,bill_payment,ACC013,Advanced actuating firmware,True
PAY00292,2026-05-23,33633.74,GBP,"Burke, Thompson and Mason",low,salary,ACC011,Distributed transitional instruction set,True
PAY00323,2026-05-23,12484.79,KZT,"Thomas, Reid and Barnes",low,bill_payment,ACC008,Ergonomic actuating hardware,True
PAY00146,2026-05-23,64234.32,USD,Austin-Jones,high,bill_payment,ACC018,De-engineered heuristic frame,False
PAY00386,2026-05-23,150.3,USD,"Valdez, Douglas and Mitchell",low,merchant_payout,ACC009,Realigned directional info-mediaries,True
PAY00010,2026-05-23,33449.69,USD,Mcmahon and Sons,normal,tax_payment,ACC001,Multi-lateral homogeneous approach,True
PAY00465,2026-05-23,252232.1,USD,Martinez-Gould,critical,bill_payment,ACC003,Fully-configurable analyzing groupware,False
PAY00212,2026-05-23,102017.17,GBP,Stanley-Martin,critical,bill_payment,ACC013,Versatile high-level system engine,False
PAY00215,2026-05-23,98118.98,USD,"Torres, Brown and Fletcher",high,cashback,ACC006,Reverse-engineered neutral forecast,False
PAY00373,2026-05-23,17599.9,EUR,"Klein, Lyons and Reed",high,bill_payment,ACC019,Team-oriented real-time adapter,False
PAY00051,2026-05-23,39698.14,GBP,Lawson and Sons,high,tax_payment,ACC005,Optional zero administration architecture,False
PAY00026,2026-05-23,91509.22,USD,"Stanton, Burns and Long",high,partner_settlement,ACC008,Progressive client-server synergy,False
PAY00295,2026-05-23,381623.29,KZT,"Fletcher, Herrera and Gibbs",critical,bill_payment,ACC011,Devolved responsive knowledgebase,False
PAY00411,2026-05-23,36468.87,EUR,Collins-Wilson,normal,cashback,ACC007,Grass-roots needs-based algorithm,True
PAY00410,2026-05-23,5031.7,USD,Rivera-Conley,normal,tax_payment,ACC017,Integrated attitude-oriented Local Area Network,True
PAY00005,2026-05-24,3126.79,GBP,Simmons Inc,normal,cashback,ACC003,Re-contextualized composite installation,True
PAY00309,2026-05-24,188697.52,EUR,Cox-Garza,critical,merchant_payout,ACC004,Cloned multi-state approach,False
PAY00198,2026-05-24,40709.33,KZT,"Graham, Moran and Richard",high,tax_payment,ACC016,Profit-focused impactful task-force,False
PAY00314,2026-05-24,148921.65,EUR,"Robinson, Allen and Cummings",critical,bill_payment,ACC014,Advanced executive support,False
PAY00108,2026-05-24,111506.79,GBP,Nelson Inc,critical,cashback,ACC013,Re-contextualized tangible Graphic Interface,False
PAY00485,2026-05-24,20694.32,EUR,Walker LLC,low,merchant_payout,ACC001,Exclusive 5thgeneration leverage,True
PAY00201,2026-05-24,12866.36,USD,Snyder-Valdez,normal,tax_payment,ACC018,Realigned object-oriented moderator,True
PAY00396,2026-05-24,359825.62,EUR,Mckinney Ltd,critical,cashback,ACC002,Total bottom-line implementation,False
PAY00242,2026-05-24,296777.3,GBP,Gibson PLC,critical,merchant_payout,ACC003,Monitored bandwidth-monitored interface,False
PAY00239,2026-05-24,19307.65,EUR,Owens-Romero,high,tax_payment,ACC003,Customizable dynamic projection,False
PAY00087,2026-05-24,34118.08,GBP,Herrera-Schwartz,normal,cashback,ACC017,Horizontal bandwidth-monitored Graphic Interface,True
PAY00458,2026-05-24,296638.32,GBP,Martinez-Rose,critical,merchant_payout,ACC002,Virtual bifurcated product,False
PAY00025,2026-05-24,156016.14,KZT,Matthews PLC,critical,partner_settlement,ACC008,Front-line disintermediate Local Area Network,False
PAY00441,2026-05-24,58947.26,GBP,Cruz and Sons,high,tax_payment,ACC012,Assimilated background solution,False
PAY00216,2026-05-24,34744.5,EUR,Duarte-Gordon,normal,merchant_payout,ACC005,Multi-lateral context-sensitive function,True
PAY00035,2026-05-24,64175.04,KZT,Sheppard-Peters,critical,bill_payment,ACC010,Distributed zero-defect standardization,False
PAY00345,2026-05-24,376767.89,KZT,Smith and Sons,critical,cashback,ACC008,Cloned background paradigm,False
PAY00274,2026-05-24,22725.89,EUR,Rogers-Lewis,low,cashback,ACC015,Object-based object-oriented collaboration,True
PAY00240,2026-05-24,11021.72,EUR,Hines and Sons,normal,tax_payment,ACC004,Sharable 3rdgeneration adapter,True
PAY00122,2026-05-25,39460.0,GBP,"Lucas, Burke and Cole",normal,merchant_payout,ACC015,Networked real-time process improvement,True
PAY00161,2026-05-25,74501.35,EUR,Bennett and Sons,high,cashback,ACC007,Intuitive didactic model,False
PAY00120,2026-05-25,99522.98,USD,Hayes LLC,high,salary,ACC017,Digitized mission-critical firmware,False
PAY00284,2026-05-25,41703.48,USD,Anderson Inc,high,cashback,ACC020,Object-based systematic infrastructure,False
PAY00151,2026-05-25,56480.42,KZT,Dodson Ltd,high,salary,ACC002,Centralized value-added array,False
PAY00188,2026-05-25,11989.05,KZT,"Archer, Taylor and Curry",normal,tax_payment,ACC005,Compatible 24/7 complexity,True
PAY00354,2026-05-25,25707.15,USD,"Mendoza, Schwartz and Morris",low,bill_payment,ACC013,Centralized reciprocal portal,True
PAY00177,2026-05-25,75745.05,KZT,"Myers, Cain and Bernard",high,cashback,ACC012,Team-oriented object-oriented core,False
PAY00073,2026-05-25,27732.39,GBP,"Garcia, Rose and Sims",low,partner_settlement,ACC017,Enterprise-wide radical knowledge user,True
PAY00038,2026-05-25,319.24,USD,"Andrews, Pham and Manning",low,bill_payment,ACC010,Profit-focused dynamic alliance,True
PAY00448,2026-05-25,62717.64,EUR,Taylor-Harvey,high,bill_payment,ACC012,Multi-tiered maximized throughput,False
PAY00492,2026-05-25,64148.61,USD,Perry PLC,high,salary,ACC013,Profit-focused multi-tasking complexity,False
PAY00049,2026-05-25,373207.11,GBP,Nelson Group,critical,tax_payment,ACC016,Phased context-sensitive knowledgebase,False
PAY00063,2026-05-25,398922.39,GBP,Torres LLC,critical,merchant_payout,ACC016,Seamless intermediate moratorium,False
PAY00416,2026-05-25,48891.01,KZT,Hebert-Thomas,high,partner_settlement,ACC006,Assimilated neutral open system,False
PAY00238,2026-05-26,47662.2,GBP,Webb Inc,normal,cashback,ACC004,Ameliorated optimizing hardware,True
PAY00079,2026-05-26,476.88,KZT,Gilbert Group,normal,tax_payment,ACC012,Robust human-resource matrices,True
PAY00230,2026-05-26,256536.03,EUR,"Lopez, Armstrong and Hernandez",critical,cashback,ACC019,Profit-focused homogeneous Graphical User Interface,False
PAY00090,2026-05-26,84822.84,GBP,Kidd-Wiley,high,salary,ACC002,Cross-group optimizing protocol,False
PAY00210,2026-05-26,17777.32,KZT,Murray LLC,normal,tax_payment,ACC019,Multi-layered high-level array,True
PAY00069,2026-05-26,78998.09,GBP,Brewer-Dickson,high,bill_payment,ACC014,Grass-roots exuding project,False
PAY00343,2026-05-26,25280.57,EUR,"Ramos, Summers and Berry",normal,salary,ACC012,Advanced content-based array,True
PAY00168,2026-05-26,228768.67,KZT,Estrada-Martinez,critical,bill_payment,ACC005,Virtual attitude-oriented matrices,False
PAY00046,2026-05-26,30136.76,EUR,Garcia-Valentine,high,partner_settlement,ACC010,Fully-configurable well-modulated open architecture,False
PAY00491,2026-05-26,18381.5,USD,Sullivan-Martinez,normal,bill_payment,ACC019,Upgradable cohesive emulation,True
PAY00172,2026-05-26,34438.32,USD,"Mills, Edwards and Frazier",normal,partner_settlement,ACC010,Progressive discrete array,True
PAY00174,2026-05-26,127350.63,EUR,Guzman Inc,critical,cashback,ACC009,Function-based actuating functionalities,False
PAY00305,2026-05-26,92230.05,KZT,Hanson Ltd,high,cashback,ACC020,Front-line actuating collaboration,False
PAY00301,2026-05-26,23583.62,EUR,Salazar Inc,normal,salary,ACC011,Function-based composite secured line,True
PAY00428,2026-05-26,6869.96,GBP,Walker-James,normal,partner_settlement,ACC005,Stand-alone executive migration,True
PAY00043,2026-05-27,25001.61,GBP,Schaefer-Collins,normal,cashback,ACC017,Pre-emptive demand-driven neural-net,True
PAY00298,2026-05-27,14176.96,USD,Roberts LLC,low,partner_settlement,ACC020,Fundamental fresh-thinking hierarchy,True
PAY00445,2026-05-27,46924.9,EUR,Chang and Sons,normal,bill_payment,ACC020,Total exuding archive,True
PAY00460,2026-05-27,205471.05,KZT,"Price, Patel and Thompson",critical,partner_settlement,ACC020,Open-architected hybrid intranet,False
PAY00022,2026-05-27,49600.64,EUR,Murray PLC,low,salary,ACC013,Multi-layered optimizing monitoring,True
PAY00480,2026-05-27,74214.78,USD,Mills Ltd,critical,tax_payment,ACC020,Synchronized optimal complexity,False
PAY00200,2026-05-27,61527.8,EUR,Wilson Inc,high,tax_payment,ACC020,Decentralized tangible strategy,False
PAY00487,2026-05-27,16634.03,USD,Glover-Torres,low,partner_settlement,ACC005,Ergonomic foreground encryption,True
PAY00003,2026-05-27,374007.53,KZT,"Barrett, Blankenship and Molina",critical,cashback,ACC015,Multi-layered context-sensitive architecture,False
PAY00431,2026-05-27,15084.31,EUR,"Lucas, Whitaker and Osborn",normal,tax_payment,ACC010,Organized dynamic contingency,True
PAY00452,2026-05-27,97436.18,EUR,Leon LLC,high,cashback,ACC007,Triple-buffered transitional benchmark,False
PAY00000,2026-05-27,17000.91,USD,Duncan PLC,high,partner_settlement,ACC008,Focused well-modulated leverage,False
PAY00335,2026-05-27,188942.92,KZT,Clark Ltd,critical,salary,ACC020,Total radical moratorium,False
PAY00408,2026-05-27,48127.66,GBP,Rice and Sons,high,tax_payment,ACC012,Optimized context-sensitive hub,False
PAY00405,2026-05-27,13435.42,GBP,Burgess and Sons,normal,merchant_payout,ACC020,Enterprise-wide grid-enabled Graphical User Interface,True
PAY00245,2026-05-27,84352.02,GBP,Lawrence Inc,high,salary,ACC011,Universal even-keeled Graphical User Interface,False
PAY00092,2026-05-27,452196.96,KZT,Rogers and Sons,critical,cashback,ACC009,Virtual impactful approach,False
PAY00060,2026-05-27,8084.0,KZT,"Johnston, Clay and Johns",low,merchant_payout,ACC015,Intuitive 24hour capacity,True
PAY00281,2026-05-27,32590.94,GBP,Maynard-Williamson,normal,merchant_payout,ACC012,Horizontal uniform throughput,True
PAY00066,2026-05-27,65264.74,KZT,"Fox, Harris and Burns",high,salary,ACC016,Virtual zero tolerance application,False
PAY00387,2026-05-27,14276.11,EUR,Moore PLC,high,tax_payment,ACC018,Future-proofed global encoding,False
PAY00094,2026-05-27,39544.64,USD,"Torres, Ford and Fisher",high,partner_settlement,ACC019,Streamlined demand-driven info-mediaries,False
PAY00379,2026-05-27,30464.78,GBP,Perry LLC,high,tax_payment,ACC013,Open-source intermediate superstructure,False
PAY00268,2026-05-27,9280.39,KZT,"Simmons, Weiss and Lee",low,cashback,ACC002,Organized regional budgetary management,True
PAY00334,2026-05-27,456653.87,EUR,Nguyen Ltd,critical,cashback,ACC001,Re-contextualized background service-desk,False
PAY00412,2026-05-27,33517.9,USD,Jacobson Group,normal,merchant_payout,ACC008,Optimized logistical Local Area Network,True
PAY00415,2026-05-28,62966.76,GBP,Hammond and Sons,high,partner_settlement,ACC017,Automated grid-enabled algorithm,False
PAY00318,2026-05-28,36306.11,GBP,Garcia-Wilson,low,salary,ACC005,Front-line optimal forecast,True
PAY00296,2026-05-28,35256.68,KZT,Webb Group,normal,partner_settlement,ACC017,Front-line transitional firmware,True
PAY00329,2026-05-28,17679.76,KZT,"Silva, Jones and Chandler",normal,merchant_payout,ACC015,Digitized fresh-thinking software,True
PAY00327,2026-05-28,53967.07,GBP,"Rose, Moore and French",high,partner_settlement,ACC012,Secured zero-defect projection,False
PAY00359,2026-05-28,36420.08,GBP,"Shepard, Jenkins and Mosley",normal,salary,ACC016,Horizontal human-resource secured line,True
PAY00183,2026-05-28,66193.29,KZT,"Schultz, Gonzales and Compton",high,tax_payment,ACC003,Vision-oriented radical adapter,False
PAY00371,2026-05-28,23534.16,USD,Thompson Group,high,salary,ACC010,Vision-oriented web-enabled structure,False
PAY00385,2026-05-28,28702.55,USD,Fletcher-Kim,high,tax_payment,ACC001,Streamlined web-enabled success,False
PAY00225,2026-05-28,6633.77,GBP,Meyer Ltd,normal,merchant_payout,ACC012,Cross-group 3rdgeneration Graphical User Interface,True
PAY00426,2026-05-28,238413.47,GBP,Robertson PLC,critical,partner_settlement,ACC013,Monitored national strategy,False
PAY00339,2026-05-28,98127.63,GBP,White Group,high,tax_payment,ACC006,Managed modular framework,False
PAY00409,2026-05-28,36711.57,GBP,Martinez-Miller,normal,partner_settlement,ACC014,Enhanced zero-defect concept,True
PAY00249,2026-05-28,78816.07,EUR,Peterson PLC,critical,cashback,ACC002,Open-source logistical installation,False
PAY00112,2026-05-28,69243.13,GBP,Harmon-Thomas,high,cashback,ACC009,Switchable context-sensitive capability,False
PAY00101,2026-05-28,404094.28,GBP,Russell-Dyer,critical,merchant_payout,ACC007,Re-engineered tertiary matrix,False
PAY00056,2026-05-28,27438.95,GBP,"King, Smith and Carroll",normal,salary,ACC002,Synergized responsive moderator,True
PAY00068,2026-05-28,55847.22,KZT,Velazquez-Miller,high,bill_payment,ACC018,Proactive mission-critical neural-net,False
PAY00444,2026-05-29,111512.75,USD,Andrews Ltd,critical,cashback,ACC001,Cloned regional strategy,False
PAY00468,2026-05-29,211582.61,USD,Rivers-Rodriguez,critical,partner_settlement,ACC003,Profit-focused web-enabled circuit,False
PAY00352,2026-05-29,13632.05,GBP,Collier-Jones,normal,partner_settlement,ACC002,Integrated didactic ability,True
PAY00085,2026-05-29,208276.35,GBP,"Osborne, Maldonado and Gutierrez",critical,cashback,ACC005,Networked web-enabled model,False
PAY00192,2026-05-29,18144.68,EUR,"Poole, Potter and Thomas",normal,partner_settlement,ACC011,Front-line stable moratorium,True
PAY00319,2026-05-29,17545.11,EUR,Haas PLC,high,bill_payment,ACC012,Pre-emptive scalable ability,False
PAY00278,2026-05-29,33146.15,KZT,"Bell, Caldwell and Parker",normal,tax_payment,ACC014,Vision-oriented exuding interface,True
PAY00006,2026-05-29,10739.54,GBP,Bridges LLC,normal,bill_payment,ACC005,Multi-channeled scalable knowledgebase,True
PAY00308,2026-05-29,116970.91,EUR,"Carney, Jenkins and Hernandez",critical,partner_settlement,ACC017,Fundamental secondary product,False
PAY00243,2026-05-29,94613.45,USD,Mejia Ltd,high,merchant_payout,ACC020,Object-based dynamic archive,False
PAY00397,2026-05-29,238931.44,EUR,Moore-Poole,critical,salary,ACC008,Polarized well-modulated instruction set,False
PAY00293,2026-05-29,330591.67,KZT,Robbins and Sons,critical,salary,ACC014,Exclusive regional alliance,False
PAY00222,2026-05-29,24104.49,KZT,Ross PLC,normal,merchant_payout,ACC012,Persistent actuating conglomeration,True
PAY00473,2026-05-29,10396.92,KZT,Hutchinson PLC,normal,bill_payment,ACC014,Exclusive global Graphical User Interface,True
PAY00047,2026-05-29,17985.41,USD,Dillon and Sons,normal,merchant_payout,ACC012,Devolved multi-state help-desk,True
PAY00013,2026-05-30,12396.99,KZT,Parker-Mcbride,high,cashback,ACC002,Total secondary hub,False
PAY00165,2026-05-30,7917.96,USD,Thomas Inc,normal,salary,ACC007,Multi-lateral multi-tasking access,True
PAY00316,2026-05-30,38668.46,EUR,"Chavez, Jacobs and Rivera",normal,tax_payment,ACC014,Future-proofed high-level extranet,True
PAY00114,2026-05-30,61992.84,KZT,"Carey, Wagner and Burke",critical,tax_payment,ACC005,Intuitive bandwidth-monitored interface,False
PAY00206,2026-05-30,42731.7,KZT,Cross-Robinson,normal,merchant_payout,ACC007,User-centric demand-driven support,True
PAY00417,2026-05-30,47577.96,EUR,"Conner, Brown and Robertson",high,tax_payment,ACC016,Triple-buffered bifurcated policy,False
PAY00202,2026-05-30,48297.47,EUR,Hurley-Petersen,normal,merchant_payout,ACC002,Extended mission-critical definition,True
PAY00484,2026-05-30,48023.43,USD,Campos Ltd,high,bill_payment,ACC016,Vision-oriented interactive productivity,False
PAY00270,2026-05-30,17060.39,USD,"Ryan, Contreras and Cox",low,tax_payment,ACC012,Fundamental systemic hardware,True
PAY00036,2026-05-30,38890.08,KZT,"Larson, Sanchez and Robinson",normal,merchant_payout,ACC001,Assimilated context-sensitive benchmark,True
PAY00382,2026-05-30,270688.37,KZT,Ramos Ltd,critical,salary,ACC011,Face-to-face leadingedge solution,False
PAY00065,2026-05-30,40308.86,EUR,"Davis, Martin and Sanchez",high,merchant_payout,ACC008,Configurable zero tolerance policy,False
PAY00275,2026-05-30,85417.3,USD,"Adams, Flynn and Harding",high,bill_payment,ACC003,Devolved needs-based model,False
PAY00083,2026-05-30,290803.45,GBP,"Arellano, Vasquez and Watts",critical,tax_payment,ACC004,Programmable object-oriented access,False
PAY00023,2026-05-30,263593.29,USD,Harrison and Sons,critical,merchant_payout,ACC002,Adaptive fault-tolerant installation,False
PAY00024,2026-05-30,42777.43,GBP,Weiss and Sons,normal,merchant_payout,ACC003,Front-line composite matrix,True
PAY00287,2026-05-30,271472.15,GBP,Dunlap-Smith,critical,bill_payment,ACC001,Centralized solution-oriented moderator,False
PAY00054,2026-05-31,28875.51,KZT,Price PLC,high,merchant_payout,ACC009,Decentralized 3rdgeneration attitude,False
PAY00315,2026-05-31,18766.3,EUR,Wilson-Pope,normal,salary,ACC003,Expanded web-enabled policy,True
PAY00462,2026-05-31,27809.3,EUR,Hill-Matthews,normal,merchant_payout,ACC015,Enterprise-wide logistical knowledge user,True
PAY00144,2026-05-31,17436.38,USD,Wood-Thornton,low,salary,ACC008,Optimized encompassing Local Area Network,True
PAY00208,2026-05-31,358759.56,EUR,Farrell PLC,critical,tax_payment,ACC010,Right-sized methodical attitude,False
PAY00332,2026-05-31,257677.25,EUR,Hays-Kemp,critical,partner_settlement,ACC007,Ameliorated zero tolerance function,False
PAY00254,2026-05-31,48778.6,GBP,"Brown, Powell and Smith",low,bill_payment,ACC020,Networked homogeneous circuit,True
PAY00181,2026-05-31,19582.9,EUR,Flores Ltd,high,salary,ACC007,Devolved 24/7 alliance,False
PAY00175,2026-05-31,9392.48,USD,"Deleon, Richard and Wilson",normal,cashback,ACC009,Sharable system-worthy collaboration,True
PAY00380,2026-05-31,21600.49,GBP,"Hanson, House and Howard",high,cashback,ACC005,Polarized next generation frame,False
PAY00312,2026-05-31,17517.6,USD,White PLC,normal,merchant_payout,ACC009,Multi-lateral 24hour knowledgebase,True
PAY00195,2026-05-31,41589.36,USD,Matthews PLC,normal,partner_settlement,ACC004,Function-based responsive framework,True
PAY00007,2026-05-31,19883.49,GBP,Knapp PLC,high,tax_payment,ACC004,Synergized contextually-based workforce,False
PAY00483,2026-05-31,54951.38,GBP,Cross-Hebert,high,partner_settlement,ACC011,Up-sized multi-state benchmark,False
