transaction_id,datetime,type,amount,currency,account_id,payment_system,delay_days,category,status,direction,counterparty,description
TXN00047910,2025-11-18 08:16:18,cashback_payout,82.3,GBP,ACC016,SEPA,1,partner_transfer,completed,outflow,"Garcia, Hayes and Burke",implement 24/365 vortals
TXN00089305,2025-11-18 08:19:18,withdrawal,3124.99,KZT,ACC011,CARD_CLEARING,4,merchant_payment,pending,outflow,Moore-Cunningham,envisioneer B2B convergence
TXN00060987,2025-11-18 08:28:18,deposit,3782.28,EUR,ACC020,ACH,1,salary,completed,inflow,Powers-Fisher,seize rich e-services
TXN00056341,2025-11-18 08:40:18,withdrawal,1709.67,GBP,ACC007,ACH,1,merchant_payment,completed,outflow,"Clark, Bennett and Burns",deploy efficient solutions
TXN00076639,2025-11-18 08:46:18,deposit,1154.46,EUR,ACC011,CARD_CLEARING,4,cashback,pending,inflow,French-Campos,embrace open-source platforms
TXN00034239,2025-11-18 08:50:18,partner_payment,1047.75,KZT,ACC018,ACH,1,client_transfer,completed,outflow,Galloway-Evans,incubate 24/365 interfaces
TXN00081524,2025-11-18 08:53:18,deposit,176.31,EUR,ACC004,SEPA,1,client_transfer,completed,inflow,Arnold Inc,scale interactive info-mediaries
TXN00058794,2025-11-18 08:54:18,withdrawal,1673.91,USD,ACC015,INSTANT,0,merchant_payment,completed,outflow,Stark-French,synthesize synergistic functionalities
TXN00082392,2025-11-18 08:57:18,cashback_payout,309.07,GBP,ACC002,SWIFT,3,salary,completed,outflow,"Thompson, Page and Herrera",transition strategic ROI
TXN00003944,2025-11-18 09:00:18,card_payment,204.48,USD,ACC012,ACH,1,salary,completed,outflow,Warren-Keith,incentivize cross-platform eyeballs
TXN00090781,2025-11-18 09:01:18,cashback_payout,226.15,GBP,ACC001,SEPA,1,salary,completed,outflow,Shaffer-Warren,brand front-end experiences
TXN00005491,2025-11-18 09:03:18,cashback_payout,445.82,USD,ACC012,SWIFT,3,client_transfer,completed,outflow,"Riley, Mccoy and Rodriguez",disintermediate user-centric convergence
TXN00012780,2025-11-18 09:08:18,withdrawal,2065.75,KZT,ACC016,INSTANT,0,bill_payment,completed,outflow,"Hendricks, Rocha and Martinez",streamline front-end info-mediaries
TXN00003247,2025-11-18 09:08:18,cashback_payout,459.55,GBP,ACC010,INSTANT,0,merchant_payment,completed,outflow,Harper PLC,synergize strategic platforms
TXN00052274,2025-11-18 09:10:18,merchant_settlement,67929.54,USD,ACC014,SEPA,1,cashback,pending,outflow,Bell-Massey,re-contextualize strategic schemas
TXN00079227,2025-11-18 09:12:18,transfer,2437.86,GBP,ACC017,CARD_CLEARING,5,bill_payment,completed,inflow,Galvan-Martinez,benchmark revolutionary interfaces
TXN00033395,2025-11-18 09:13:18,partner_payment,160.55,USD,ACC018,CARD_CLEARING,5,partner_transfer,completed,outflow,"Nelson, Henry and Neal",deploy holistic methodologies
TXN00006803,2025-11-18 09:15:18,deposit,1565.47,USD,ACC005,SEPA,1,cashback,completed,inflow,Monroe-Mccoy,utilize dynamic portals
TXN00059257,2025-11-18 09:16:18,card_payment,914.61,GBP,ACC016,SWIFT,3,salary,completed,outflow,Ortega LLC,integrate rich vortals
TXN00038984,2025-11-18 09:17:18,cashback_payout,345.6,KZT,ACC013,CARD_CLEARING,4,client_transfer,completed,outflow,"Williams, Lang and Morgan",incentivize compelling applications
TXN00047065,2025-11-18 09:18:18,deposit,38.57,EUR,ACC002,ACH,1,partner_transfer,completed,inflow,"Watson, Welch and Ellis",morph cross-media interfaces
TXN00093514,2025-11-18 09:23:18,transfer,1612.84,EUR,ACC020,CARD_CLEARING,4,salary,completed,inflow,"Yu, Torres and Campbell",innovate magnetic applications
TXN00054814,2025-11-18 09:24:18,transfer,129.3,GBP,ACC013,ACH,1,cashback,completed,inflow,Gibson Inc,strategize efficient channels
TXN00001005,2025-11-18 09:25:18,merchant_settlement,20807.46,EUR,ACC010,INSTANT,0,partner_transfer,completed,outflow,"Mitchell, Sims and Anderson",e-enable frictionless web-readiness
TXN00055934,2025-11-18 09:26:18,card_payment,15.21,EUR,ACC008,INSTANT,0,merchant_payment,completed,outflow,"Brown, Norton and Cantu",e-enable cross-media solutions
TXN00006232,2025-11-18 09:27:18,deposit,42.67,KZT,ACC017,SEPA,1,partner_transfer,completed,inflow,Gonzalez-Wilcox,transition mission-critical e-services
TXN00087186,2025-11-18 09:28:18,card_payment,2.39,KZT,ACC019,CARD_CLEARING,3,bill_payment,completed,outflow,"Lin, Williams and Moore",extend compelling supply-chains
TXN00060546,2025-11-18 09:37:18,cashback_payout,411.34,EUR,ACC009,SWIFT,2,partner_transfer,completed,outflow,Moore Inc,mesh global content
TXN00098213,2025-11-18 09:37:18,withdrawal,78.54,USD,ACC006,SEPA,1,merchant_payment,completed,outflow,"Kelly, Wilkerson and Jones",benchmark vertical deliverables
TXN00049232,2025-11-18 09:43:18,deposit,138.09,GBP,ACC001,INSTANT,0,salary,completed,inflow,"Baker, Aguilar and Brennan",drive proactive bandwidth
TXN00009835,2025-11-18 09:44:18,card_payment,49.06,EUR,ACC015,INSTANT,0,merchant_payment,completed,outflow,Taylor-Anderson,monetize enterprise portals
TXN00007187,2025-11-18 09:53:18,transfer,20.48,GBP,ACC015,INSTANT,0,salary,processing,inflow,Rose-Juarez,innovate seamless systems
TXN00038839,2025-11-18 09:56:18,transfer,64.05,KZT,ACC016,INSTANT,0,cashback,completed,inflow,Evans Group,repurpose world-class schemas
TXN00069023,2025-11-18 09:56:18,withdrawal,108.97,EUR,ACC019,SEPA,1,client_transfer,completed,outflow,"Smith, Tran and Smith",unleash one-to-one mindshare
TXN00014037,2025-11-18 09:58:18,card_payment,1507.39,USD,ACC001,INSTANT,0,bill_payment,completed,outflow,"Garza, Hutchinson and James",incentivize sticky infrastructures
TXN00046271,2025-11-18 09:58:18,deposit,118.23,KZT,ACC019,SEPA,1,salary,completed,inflow,"Simpson, Lawson and Kaiser",morph next-generation convergence
TXN00053184,2025-11-18 09:58:18,transfer,1101.37,EUR,ACC007,INSTANT,0,merchant_payment,completed,inflow,Lynch and Sons,facilitate cross-platform e-commerce
TXN00003806,2025-11-18 10:01:18,cashback_payout,142.76,EUR,ACC008,ACH,1,client_transfer,completed,outflow,Jenkins Ltd,visualize end-to-end platforms
TXN00034079,2025-11-18 10:02:18,transfer,935.48,USD,ACC014,SWIFT,2,partner_transfer,completed,inflow,Reynolds and Sons,utilize impactful portals
TXN00056315,2025-11-18 10:10:18,card_payment,1043.32,KZT,ACC014,SWIFT,3,merchant_payment,completed,outflow,Adams Inc,seize transparent interfaces
TXN00058746,2025-11-18 10:13:18,deposit,166.0,GBP,ACC010,INSTANT,0,partner_transfer,completed,inflow,Nguyen LLC,leverage cross-media solutions
TXN00041473,2025-11-18 10:15:18,cashback_payout,112.39,KZT,ACC008,INSTANT,0,salary,completed,outflow,Gallagher Inc,iterate virtual e-business
TXN00022164,2025-11-18 10:17:18,card_payment,558.55,USD,ACC013,INSTANT,0,partner_transfer,completed,outflow,"Williams, Martin and Floyd",incubate mission-critical experiences
TXN00068345,2025-11-18 10:19:18,deposit,81.55,KZT,ACC004,CARD_CLEARING,4,bill_payment,pending,inflow,Mahoney-Hayes,aggregate frictionless e-tailers
TXN00094311,2025-11-18 10:20:18,cashback_payout,221.49,KZT,ACC001,SWIFT,2,bill_payment,completed,outflow,Watts Inc,expedite extensible markets
TXN00030412,2025-11-18 10:25:18,withdrawal,2205.06,GBP,ACC019,CARD_CLEARING,3,bill_payment,completed,outflow,Martinez Group,orchestrate sticky portals
TXN00069935,2025-11-18 10:33:18,merchant_settlement,38192.42,USD,ACC003,ACH,1,partner_transfer,completed,outflow,"Allen, Brooks and Roberts",e-enable real-time initiatives
TXN00080844,2025-11-18 10:33:18,partner_payment,142.4,GBP,ACC011,SWIFT,2,bill_payment,completed,outflow,Johnson-Moreno,maximize rich metrics
TXN00045358,2025-11-18 10:35:18,deposit,50.83,GBP,ACC017,SWIFT,2,partner_transfer,completed,inflow,Torres-Brown,leverage vertical synergies
TXN00084486,2025-11-18 10:36:18,deposit,33.16,GBP,ACC017,SWIFT,2,merchant_payment,completed,inflow,"Olson, Barry and Ruiz",extend extensible portals
TXN00030179,2025-11-18 10:37:18,merchant_settlement,4438.14,USD,ACC010,SEPA,1,salary,completed,outflow,Simon LLC,implement dynamic experiences
TXN00057560,2025-11-18 10:37:18,merchant_settlement,70171.52,GBP,ACC006,SEPA,1,merchant_payment,completed,outflow,Archer Group,disintermediate real-time experiences
TXN00021751,2025-11-18 10:39:18,card_payment,899.0,EUR,ACC009,SEPA,1,client_transfer,completed,outflow,"Robertson, Walker and Graham",visualize seamless infrastructures
TXN00014687,2025-11-18 10:40:18,withdrawal,200.55,KZT,ACC017,CARD_CLEARING,4,bill_payment,completed,outflow,Cox LLC,syndicate customized functionalities
TXN00088006,2025-11-18 10:44:18,merchant_settlement,1331.21,KZT,ACC013,SWIFT,3,bill_payment,completed,outflow,"Reynolds, Schaefer and Hill",empower interactive synergies
TXN00091705,2025-11-18 10:47:18,cashback_payout,137.59,KZT,ACC009,ACH,1,merchant_payment,completed,outflow,"Lynch, Cox and Vargas",re-intermediate cross-media systems
TXN00085331,2025-11-18 10:47:18,partner_payment,5457.69,KZT,ACC016,ACH,1,cashback,completed,outflow,Bowman-Gibson,engineer viral web-readiness
TXN00000428,2025-11-18 10:48:18,partner_payment,33.47,KZT,ACC013,SEPA,1,bill_payment,completed,outflow,Brewer-Velez,evolve bleeding-edge users
TXN00067135,2025-11-18 10:50:18,partner_payment,37.54,EUR,ACC003,SEPA,1,salary,completed,outflow,"Hughes, Rice and Miller",leverage compelling info-mediaries
TXN00021425,2025-11-18 10:50:18,merchant_settlement,43999.08,EUR,ACC012,CARD_CLEARING,4,cashback,pending,outflow,Steele and Sons,redefine collaborative markets
TXN00098897,2025-11-18 10:51:18,cashback_payout,63.86,USD,ACC003,ACH,1,merchant_payment,completed,outflow,Moses PLC,drive ubiquitous platforms
TXN00083859,2025-11-18 10:51:18,partner_payment,767.36,KZT,ACC010,CARD_CLEARING,5,partner_transfer,pending,outflow,"Stanley, Lopez and Mason",maximize killer e-commerce
TXN00084024,2025-11-18 10:52:18,cashback_payout,464.21,GBP,ACC006,ACH,1,salary,completed,outflow,Rodriguez and Sons,enable end-to-end niches
TXN00088560,2025-11-18 10:58:18,partner_payment,323.18,GBP,ACC003,CARD_CLEARING,4,cashback,completed,outflow,"Conner, Bender and Lee",morph world-class users
TXN00033602,2025-11-18 11:00:18,merchant_settlement,43618.97,USD,ACC016,SEPA,1,cashback,completed,outflow,"Cooper, Meyer and Farley",synergize end-to-end users
TXN00073522,2025-11-18 11:02:18,merchant_settlement,97062.46,GBP,ACC006,INSTANT,0,client_transfer,completed,outflow,"Johnson, Webster and Day",unleash back-end schemas
TXN00037679,2025-11-18 11:04:18,deposit,1.64,EUR,ACC002,CARD_CLEARING,5,partner_transfer,completed,inflow,"Carroll, Lopez and Lowe",e-enable end-to-end niches
TXN00002471,2025-11-18 11:07:18,transfer,38.56,GBP,ACC002,INSTANT,0,salary,completed,inflow,Lane Inc,strategize bleeding-edge systems
TXN00048528,2025-11-18 11:09:18,card_payment,44.27,EUR,ACC017,ACH,1,cashback,completed,outflow,Walters Group,cultivate ubiquitous methodologies
TXN00031789,2025-11-18 11:10:18,transfer,1536.53,USD,ACC005,SWIFT,3,bill_payment,completed,inflow,Alvarez-Rodriguez,strategize end-to-end applications
TXN00082792,2025-11-18 11:11:18,deposit,14305.58,EUR,ACC006,CARD_CLEARING,3,bill_payment,completed,inflow,Washington LLC,brand scalable methodologies
TXN00021521,2025-11-18 11:12:18,deposit,751.19,EUR,ACC020,SEPA,1,salary,completed,inflow,George LLC,unleash cross-platform architectures
TXN00002585,2025-11-18 11:12:18,cashback_payout,368.0,USD,ACC001,CARD_CLEARING,3,client_transfer,completed,outflow,"Baird, Miller and Pennington",extend seamless e-commerce
TXN00045063,2025-11-18 11:13:18,partner_payment,154.06,EUR,ACC018,CARD_CLEARING,3,cashback,completed,outflow,Lawson PLC,envisioneer one-to-one interfaces
TXN00084393,2025-11-18 11:14:18,deposit,893.2,KZT,ACC011,ACH,1,client_transfer,completed,inflow,"Hanson, Brown and Rogers",whiteboard intuitive synergies
TXN00049543,2025-11-18 11:15:18,transfer,1228.96,USD,ACC014,SEPA,1,bill_payment,completed,inflow,"Watkins, Jackson and Hale",exploit virtual portals
TXN00038964,2025-11-18 11:15:18,withdrawal,770.61,KZT,ACC020,ACH,1,partner_transfer,completed,outflow,Allen-Lowe,engage dynamic e-tailers
TXN00049838,2025-11-18 11:19:18,card_payment,9651.05,KZT,ACC016,SEPA,1,merchant_payment,completed,outflow,Cook-Moore,innovate plug-and-play mindshare
TXN00090872,2025-11-18 11:19:18,transfer,1252.75,USD,ACC011,CARD_CLEARING,5,salary,completed,inflow,Galloway PLC,engage ubiquitous schemas
TXN00065340,2025-11-18 11:19:18,deposit,18228.37,KZT,ACC013,SWIFT,3,client_transfer,completed,inflow,Carlson-Hatfield,monetize B2C e-business
TXN00073439,2025-11-18 11:22:18,withdrawal,2178.83,EUR,ACC005,CARD_CLEARING,5,merchant_payment,pending,outflow,Stewart PLC,syndicate best-of-breed architectures
TXN00088645,2025-11-18 11:24:18,withdrawal,1584.16,KZT,ACC005,SWIFT,2,cashback,completed,outflow,Delgado-Smith,empower global eyeballs
TXN00005289,2025-11-18 11:24:18,partner_payment,45.99,EUR,ACC006,SWIFT,3,cashback,pending,outflow,Kerr Ltd,optimize killer e-commerce
TXN00093712,2025-11-18 11:25:18,transfer,26.9,GBP,ACC012,CARD_CLEARING,3,cashback,completed,inflow,Lowe-Gonzales,envisioneer sticky technologies
TXN00066665,2025-11-18 11:26:18,merchant_settlement,84271.97,USD,ACC014,SEPA,1,client_transfer,pending,outflow,"Ruiz, Mcdaniel and Williams",optimize integrated architectures
TXN00001621,2025-11-18 11:27:18,deposit,132.08,EUR,ACC003,ACH,1,client_transfer,completed,inflow,Thomas and Sons,synthesize ubiquitous channels
TXN00007714,2025-11-18 11:29:18,withdrawal,173.27,KZT,ACC009,SEPA,1,salary,processing,outflow,Rowe-James,implement clicks-and-mortar supply-chains
TXN00017730,2025-11-18 11:30:18,partner_payment,1086.99,GBP,ACC010,INSTANT,0,bill_payment,pending,outflow,"Ross, Walker and Vazquez",innovate revolutionary e-commerce
TXN00065543,2025-11-18 11:32:18,merchant_settlement,89582.08,GBP,ACC001,ACH,1,salary,completed,outflow,Nelson-Miller,enable world-class solutions
TXN00004049,2025-11-18 11:32:18,card_payment,1006.92,EUR,ACC016,SEPA,1,client_transfer,pending,outflow,Brown-Perkins,revolutionize dot-com content
TXN00037962,2025-11-18 11:33:18,merchant_settlement,19182.58,GBP,ACC014,INSTANT,0,merchant_payment,completed,outflow,Andrews-Adkins,scale interactive applications
TXN00004680,2025-11-18 11:33:18,merchant_settlement,32781.88,USD,ACC017,INSTANT,0,salary,completed,outflow,Brown LLC,leverage out-of-the-box initiatives
TXN00083071,2025-11-18 11:33:18,deposit,8082.07,USD,ACC002,SWIFT,3,client_transfer,completed,inflow,"Fowler, Anderson and Webb",facilitate ubiquitous users
TXN00049187,2025-11-18 11:34:18,transfer,789.27,EUR,ACC016,SWIFT,3,cashback,pending,inflow,Adams Inc,monetize user-centric models
TXN00050361,2025-11-18 11:34:18,merchant_settlement,78896.94,KZT,ACC004,CARD_CLEARING,4,merchant_payment,completed,outflow,Gutierrez-Dunlap,envisioneer clicks-and-mortar channels
TXN00043136,2025-11-18 11:35:18,transfer,146.24,GBP,ACC013,ACH,1,merchant_payment,completed,inflow,Simpson-Scott,visualize distributed action-items
TXN00006694,2025-11-18 11:36:18,cashback_payout,338.53,GBP,ACC001,SWIFT,3,partner_transfer,completed,outflow,Robertson-Pennington,morph user-centric models
TXN00084815,2025-11-18 11:38:18,merchant_settlement,29125.37,KZT,ACC020,CARD_CLEARING,5,bill_payment,completed,outflow,Hunt PLC,facilitate seamless web services
TXN00097535,2025-11-18 11:39:18,withdrawal,2186.81,EUR,ACC005,CARD_CLEARING,4,salary,completed,outflow,Perez PLC,empower turn-key mindshare
TXN00010079,2025-11-18 11:39:18,deposit,204.83,EUR,ACC004,CARD_CLEARING,5,merchant_payment,completed,inflow,Fox-Munoz,incubate granular portals
TXN00062201,2025-11-18 11:41:18,card_payment,2.4,USD,ACC012,INSTANT,0,salary,completed,outflow,"Henderson, Chambers and Peters",leverage interactive vortals
TXN00024132,2025-11-18 11:42:18,merchant_settlement,91029.01,GBP,ACC010,INSTANT,0,client_transfer,completed,outflow,"Stevens, Parker and Graham",reinvent customized infrastructures
TXN00037373,2025-11-18 11:42:18,transfer,7058.73,KZT,ACC008,CARD_CLEARING,4,merchant_payment,completed,inflow,Rhodes-Simmons,scale visionary initiatives
TXN00043311,2025-11-18 11:42:18,card_payment,1404.71,EUR,ACC001,SWIFT,2,client_transfer,completed,outflow,"Roy, Rodgers and Steele",maximize web-enabled supply-chains
TXN00086545,2025-11-18 11:45:18,deposit,1198.88,KZT,ACC012,CARD_CLEARING,4,bill_payment,pending,inflow,Ryan and Sons,harness open-source e-business
TXN00098657,2025-11-18 11:45:18,deposit,713.97,EUR,ACC019,SEPA,1,client_transfer,completed,inflow,Park-Rose,cultivate turn-key markets
TXN00088211,2025-11-18 11:46:18,card_payment,1743.27,EUR,ACC003,SWIFT,3,bill_payment,completed,outflow,"Mora, Ware and Ward",embrace frictionless bandwidth
TXN00085066,2025-11-18 11:46:18,withdrawal,7113.29,GBP,ACC015,SWIFT,2,salary,completed,outflow,Smith-Gonzalez,scale distributed partnerships
TXN00038213,2025-11-18 11:46:18,card_payment,88.01,KZT,ACC009,SEPA,1,partner_transfer,completed,outflow,"Johnson, Warren and Pitts",transition cutting-edge models
TXN00040084,2025-11-18 11:48:18,deposit,11.94,GBP,ACC011,ACH,1,cashback,completed,inflow,"Lopez, Gardner and Mora",implement one-to-one methodologies
TXN00054503,2025-11-18 11:53:18,withdrawal,22.82,KZT,ACC018,SEPA,1,bill_payment,completed,outflow,Conley Ltd,matrix wireless users
TXN00017069,2025-11-18 11:54:18,card_payment,99.88,KZT,ACC009,SWIFT,3,merchant_payment,completed,outflow,Lopez LLC,innovate efficient eyeballs
TXN00004737,2025-11-18 11:55:18,cashback_payout,364.43,USD,ACC013,SEPA,1,cashback,completed,outflow,Hernandez Inc,deliver web-enabled portals
TXN00058544,2025-11-18 11:55:18,cashback_payout,494.37,KZT,ACC014,ACH,1,partner_transfer,pending,outflow,Peterson-Fields,monetize front-end ROI
TXN00056886,2025-11-18 11:55:18,merchant_settlement,70473.86,KZT,ACC009,INSTANT,0,cashback,completed,outflow,White Inc,embrace intuitive vortals
TXN00083335,2025-11-18 11:57:18,partner_payment,121.03,GBP,ACC007,INSTANT,0,partner_transfer,pending,outflow,Becker and Sons,generate rich synergies
TXN00002338,2025-11-18 11:57:18,cashback_payout,175.62,USD,ACC014,SWIFT,3,bill_payment,completed,outflow,Potts-Nelson,integrate sticky paradigms
TXN00006900,2025-11-18 11:58:18,transfer,295.14,EUR,ACC012,SWIFT,3,client_transfer,completed,inflow,"Saunders, Powell and Ellis",monetize rich e-markets
TXN00055651,2025-11-18 11:58:18,transfer,841.32,KZT,ACC004,SWIFT,3,salary,completed,inflow,Johnson Ltd,transition synergistic channels
TXN00024414,2025-11-18 12:00:18,partner_payment,89.57,GBP,ACC005,ACH,1,merchant_payment,completed,outflow,Lynch PLC,repurpose killer web-readiness
TXN00084511,2025-11-18 12:01:18,partner_payment,2442.21,EUR,ACC017,SWIFT,3,client_transfer,completed,outflow,Robertson-Gibson,re-contextualize bleeding-edge applications
TXN00061590,2025-11-18 12:03:18,cashback_payout,478.05,KZT,ACC002,CARD_CLEARING,5,merchant_payment,completed,outflow,Barnes-Fletcher,redefine bleeding-edge e-business
TXN00064089,2025-11-18 12:03:18,partner_payment,12763.61,USD,ACC018,SWIFT,2,bill_payment,completed,outflow,"Anderson, Moore and George",productize open-source functionalities
TXN00089394,2025-11-18 12:05:18,withdrawal,554.35,GBP,ACC015,ACH,1,client_transfer,completed,outflow,"Ryan, Mckinney and Thompson",embrace dynamic ROI
TXN00096326,2025-11-18 12:06:18,card_payment,205.33,USD,ACC010,CARD_CLEARING,5,client_transfer,completed,outflow,Johnson PLC,synergize seamless applications
TXN00004636,2025-11-18 12:06:18,transfer,866.85,GBP,ACC008,SWIFT,3,salary,completed,inflow,Nguyen Inc,matrix efficient models
TXN00072882,2025-11-18 12:07:18,deposit,1984.26,USD,ACC015,ACH,1,salary,completed,inflow,Berry Group,synthesize interactive models
TXN00065730,2025-11-18 12:08:18,transfer,73.05,USD,ACC001,SWIFT,3,merchant_payment,pending,inflow,"Tanner, Mason and Johnson",evolve seamless systems
TXN00020399,2025-11-18 12:09:18,cashback_payout,336.25,KZT,ACC010,SWIFT,2,client_transfer,completed,outflow,"Larsen, Myers and Herrera",innovate vertical web-readiness
TXN00097944,2025-11-18 12:10:18,deposit,343.17,GBP,ACC001,CARD_CLEARING,5,cashback,completed,inflow,Boyer-Miller,deliver customized communities
TXN00003466,2025-11-18 12:11:18,partner_payment,51.44,KZT,ACC011,ACH,1,partner_transfer,completed,outflow,Munoz-Stokes,cultivate front-end platforms
TXN00070587,2025-11-18 12:11:18,cashback_payout,464.96,KZT,ACC004,SEPA,1,client_transfer,pending,outflow,Wilcox-Wall,incentivize seamless systems
TXN00018040,2025-11-18 12:13:18,merchant_settlement,7709.07,USD,ACC009,INSTANT,0,salary,completed,outflow,"Mcneil, Parks and Pratt",revolutionize next-generation eyeballs
